Lambda11(-),Lambda22(-),Lambda33(-),I1,I41,I42,Energy,Sigma11(KPa),Sigma22(KPa)
1.2448979591836735,1.0122448979591836,0.7935616076150186,3.204150687304606,1.5497709287796753,1.024639733444398,1.3413944,12.537265,4.007056
1.2510204081632654,1.0122448979591836,0.7896779455875388,3.213283052832737,1.5650520616409833,1.024639733444398,1.4263806,13.0600605,4.2639446
1.2571428571428571,1.0122448979591836,0.7858321114369503,3.222580004075159,1.580408163265306,1.024639733444398,1.5130761,13.604121,4.5305405
1.263265306122449,1.0122448979591836,0.7820235551618114,3.2320398079249615,1.5958392336526448,1.024639733444398,1.6014609,14.169911,4.8068905
1.269387755102041,1.0122448979591836,0.7782517373716419,3.241660772969376,1.611345272802999,1.024639733444398,1.6915185,14.757903,5.0930395
1.2755102040816326,1.0122448979591836,0.7745161290322582,3.2514412482918793,1.626926280716368,1.024639733444398,1.7832291,15.368549,5.389016
1.2816326530612245,1.0122448979591836,0.7708162112184097,3.261379622314255,1.642582257392753,1.024639733444398,1.8765764,16.002308,5.6948576
1.2877551020408164,1.0122448979591836,0.7671514748734728,3.271474321677096,1.6583132028321537,1.024639733444398,1.9715443,16.65963,6.0105906
1.2938775510204081,1.0122448979591836,0.7635214205759643,3.2817238101573056,1.6741191170345688,1.024639733444398,2.0681138,17.340946,6.336238
1.3,1.0122448979591836,0.7599255583126551,3.2921265876211985,1.6900000000000002,1.024639733444398,2.1662714,18.046703,6.6718187
1.0,1.0183673469387755,0.9819639278557114,3.001325208920937,1.0,1.0370720533111204,-0.20710352,0.5738921,0.7116723
1.006122448979592,1.0183673469387755,0.9759884881324514,3.00190796461888,1.0122823823406915,1.0370720533111204,-0.20366454,0.7536392,0.79342985
1.0122448979591836,1.0183673469387755,0.9700853319542311,3.002777338028269,1.024639733444398,1.0370720533111204,-0.19851056,0.94201136,0.8713298
1.0183673469387755,1.0183673469387755,0.9642531556098168,3.0039282547257304,1.0370720533111204,1.0370720533111204,-0.19167146,1.1395588,0.94562626
1.0244897959183674,1.0183673469387755,0.9584906865523876,3.005355791459646,1.0495793419408581,1.0370720533111204,-0.1831769,1.3468213,1.0165625
1.030612244897959,1.0183673469387755,0.9527966824738586,3.007055170777922,1.0621615993336109,1.0370720533111204,-0.17305556,1.5643239,1.0843682
1.036734693877551,1.0183673469387755,0.947169930412005,3.0090217558771823,1.0748188254893793,1.0370720533111204,-0.16133499,1.7925844,1.1492634
1.042857142857143,1.0183673469387755,0.9416092458890382,3.011251045663007,1.0875510204081633,1.0370720533111204,-0.14804202,2.0321097,1.2114563
1.0489795918367346,1.0183673469387755,0.9361134720803475,3.0137386700114064,1.1003581840899623,1.0370720533111204,-0.13320339,2.2833915,1.2711449
1.0551020408163265,1.0183673469387755,0.9306814790121831,3.016480385222202,1.113240316534777,1.0370720533111204,-0.11684412,2.5469203,1.328517
1.0612244897959184,1.0183673469387755,0.9253121627871127,3.019472069655492,1.1261974177426073,1.0370720533111204,-0.09908897,2.8045015,1.3782396
1.0673469387755101,1.0183673469387755,0.9200044448361351,3.022709719542818,1.1392294877134526,1.0370720533111204,-0.08007157,3.0345674,1.414052
1.073469387755102,1.0183673469387755,0.9147572711963853,3.026189444965091,1.1523365264473135,1.0370720533111204,-0.059201002,3.2655678,1.4465923
1.079591836734694,1.0183673469387755,0.9095696118134189,3.029907465989724,1.16551853394419,1.0370720533111204,-0.035568416,3.4868789,1.4775801
1.0857142857142856,1.0183673469387755,0.9044404598671028,3.033860108959818,1.1787755102040816,1.0370720533111204,-0.010407269,3.7126975,1.5052867
1.0918367346938775,1.0183673469387755,0.8993688311201843,3.0380438029285957,1.1921074552269888,1.0370720533111204,0.016258895,3.9432206,1.52983
1.0979591836734695,1.0183673469387755,0.8943537632886591,3.042455076232619,1.2055143690129115,1.0370720533111204,0.044407845,4.1786466,1.5513234
1.1040816326530611,1.0183673469387755,0.8893943154330843,3.047090553197654,1.218996251561849,1.0370720533111204,0.07401699,4.4191713,1.5698767
1.110204081632653,1.0183673469387755,0.8844895673700341,3.0519469509713533,1.2325531028738026,1.0370720533111204,0.105065286,4.6649804,1.5855918
1.116326530612245,1.0183673469387755,0.8796386191029224,3.0570210764771883,1.2461849229487716,1.0370720533111204,0.13753188,4.9162655,1.5985708
1.1224489795918366,1.0183673469387755,0.874840590271452,3.0623098234843784,1.2598917117867554,1.0370720533111204,0.17139632,5.173206,1.6089077
1.1285714285714286,1.0183673469387755,0.8700946196189848,3.0678101697887814,1.2736734693877552,1.0370720533111204,0.20663875,5.435983,1.6166945
1.1346938775510205,1.0183673469387755,0.8653998644771557,3.07351917449997,1.2875301957517702,1.0370720533111204,0.24324036,5.704777,1.6220202
1.1408163265306124,1.0183673469387755,0.8607555002670815,3.0794339754299545,1.3014618908788007,1.0370720533111204,0.28118217,5.9797587,1.624968
1.146938775510204,1.0183673469387755,0.8561607200165455,3.0855517865792166,1.3154685547688463,1.0370720533111204,0.320446,6.261103,1.6256204
1.153061224489796,1.0183673469387755,0.8516147338925638,3.0918698957159303,1.3295501874219078,1.0370720533111204,0.3610142,6.5489774,1.624053
1.1591836734693879,1.0183673469387755,0.847116768748765,3.0983856620444534,1.3437067888379846,1.0370720533111204,0.4028694,6.8435545,1.6203427
1.1653061224489796,1.0183673469387755,0.8426660676870379,3.105096513959332,1.3579383590170762,1.0370720533111204,0.450733,7.268013,1.731451
1.1714285714285715,1.0183673469387755,0.8382618896329244,3.1119999468812654,1.372244897959184,1.0370720533111204,0.500091,7.714638,1.8495975
1.1775510204081634,1.0183673469387755,0.833903508924261,3.1190935211716226,1.386626405664307,1.0370720533111204,0.55089086,8.183178,1.9740462
1.183673469387755,1.0183673469387755,0.8295902149125839,3.1263748601222723,1.4010828821324448,1.0370720533111204,0.6155605,8.524233,2.1360931
1.189795918367347,1.0183673469387755,0.8253213115768415,3.133841648017637,1.4156143273635986,1.0370720533111204,0.6832469,8.8679905,2.3098474
1.195918367346939,1.0183673469387755,0.8210961171489737,3.1414916282660097,1.4302207413577679,1.0370720533111204,0.7528426,9.228039,2.4927554
1.2020408163265306,1.0183673469387755,0.8169139637509314,3.1493226015973304,1.444902124114952,1.0370720533111204,0.8243243,9.604935,2.684928
1.2081632653061225,1.0183673469387755,0.8127741970427341,3.157332424324734,1.459658475635152,1.0370720533111204,0.8976683,9.9992285,2.886465
1.2142857142857144,1.0183673469387755,0.808676175881174,3.1655190066672874,1.4744897959183676,1.0370720533111204,0.97285265,10.411456,3.097457
1.220408163265306,1.0183673469387755,0.8046192719887937,3.173880311131495,1.489396084964598,1.0370720533111204,1.0498548,10.842148,3.3179855
1.226530612244898,1.0183673469387755,0.8006028696327763,3.182414350949201,1.5043773427738443,1.0370720533111204,1.1286535,11.291815,3.54813
1.23265306122449,1.0183673469387755,0.7966263653134081,3.191119188569678,1.519433569346106,1.0370720533111204,1.2092278,11.76097,3.7879581
1.2387755102040816,1.0183673469387755,0.7926891674617769,3.1999929342037476,1.5345647646813827,1.0370720533111204,1.2915578,12.250107,4.0375338
1.2448979591836735,1.0183673469387755,0.7887906961463911,3.209033744417904,1.5497709287796753,1.0370720533111204,1.3756232,12.75972,4.296914
1.2510204081632654,1.0183673469387755,0.7849303827884152,3.2182398207764717,1.5650520616409833,1.0370720533111204,1.4614046,13.290284,4.566148
1.2571428571428571,1.0183673469387755,0.781107669885225,3.2276094085299523,1.580408163265306,1.0370720533111204,1.548883,13.842285,4.8452854
1.263265306122449,1.0183673469387755,0.7773220107420009,3.2371407953477527,1.5958392336526448,1.0370720533111204,1.6380401,14.41618,5.134362
1.269387755102041,1.0183673469387755,0.773572869211091,3.246832310093599,1.611345272802999,1.0370720533111204,1.7288578,15.012431,5.4334173
1.2755102040816326,1.0183673469387755,0.7698597194388779,3.2566823216419962,1.626926280716368,1.0370720533111204,1.8213186,15.6314945,5.7424793
1.2816326530612245,1.0183673469387755,0.7661820456199022,3.2666892377341714,1.642582257392753,1.0370720533111204,1.9154053,16.27382,6.061577
1.2877551020408164,1.0183673469387755,0.7625393417580009,3.2768515038719994,1.6583132028321537,1.0370720533111204,2.011101,16.939844,6.39073
1.2938775510204081,1.0183673469387755,0.758931111434225,3.287167602248477,1.6741191170345688,1.0370720533111204,2.1083896,17.630013,6.7299604
1.3,1.0183673469387755,0.7553568675813165,3.297636050713379,1.6900000000000002,1.0370720533111204,2.2072551,18.34475,7.079282
